player_id,elo_final,elo_start,elo_peak,elo_peak_date,first_match_date,last_match_date,matches_played
209027,1551.6158759800362,1500,1551.6158759800362,1968-12-30,1968-01-01,1968-12-30,4
212434,1435.6186646870276,1500,1500.0,1968-01-01,1968-01-01,1968-01-01,1
109838,1611.9763693731645,1500,1680.7024154888563,1971-06-21,1968-01-01,1972-06-26,52
209426,1411.0661191226586,1500,1500.0,1968-01-01,1968-01-01,1972-04-08,12
106867,1517.6905367022753,1500,1630.2041149739134,1971-06-07,1968-01-01,1975-11-17,53
110947,1430.0207071749157,1500,1500.0,1968-01-01,1968-01-01,1969-05-04,5
100084,1820.974868843464,1500,2243.951582252084,1974-03-30,1968-01-01,1981-11-02,962
100173,1755.834196883167,1500,2012.0606021345368,1976-02-14,1968-01-01,1983-02-28,566
110023,1533.6841282121063,1500,1626.7081128514176,1968-01-01,1968-01-01,1968-12-30,6
212423,1434.3368048899058,1500,1500.0,1968-01-01,1968-01-01,1968-01-01,1
108430,1451.7757259459204,1500,1565.6631951100942,1968-01-01,1968-01-01,1975-04-21,8
146312,1434.3368048899058,1500,1500.0,1968-01-01,1968-01-01,1968-01-01,1
110044,1374.4945098437827,1500,1500.0,1968-01-01,1968-01-01,1968-01-19,2
210859,1392.1503635321428,1500,1500.0,1968-01-01,1968-01-01,1968-04-01,2
209597,1336.465191277391,1500,1500.0,1968-01-01,1968-01-01,1969-08-16,7
210768,1467.8659570890777,1500,1500.0,1968-01-01,1968-01-01,1968-04-01,6
100137,1760.8746835662903,1500,1924.7486334768637,1973-10-21,1968-01-01,1979-06-18,261
100099,1688.9899546102663,1500,1982.1343605325933,1971-05-03,1968-01-01,1983-11-21,403
110041,1571.9138676176194,1500,1600.2000251212419,1968-12-30,1968-01-01,1968-12-30,7
209546,1447.5138109764969,1500,1506.7834088358159,1968-01-01,1968-01-01,1968-12-30,3
202946,1319.133542069843,1500,1500.0,1968-01-01,1968-01-01,1971-04-05,4
204611,1634.1132083210907,1500,1634.1132083210907,1968-01-01,1968-01-01,1968-01-01,4
110049,1392.5973537650734,1500,1500.0,1968-01-01,1968-01-01,1970-08-02,18
212436,1425.6254009122924,1500,1500.0,1968-01-01,1968-01-01,1968-01-01,1
212437,1421.4769519647991,1500,1500.0,1968-01-01,1968-01-01,1968-01-01,1
147451,1447.8201666859309,1500,1500.0,1968-01-01,1968-01-01,1968-01-01,1
210770,1503.9378800500415,1500,1503.9378800500415,1968-01-14,1968-01-01,1968-01-14,5
212422,1439.9605969466452,1500,1500.0,1968-01-01,1968-01-01,1968-01-01,1
209554,1411.3342832461074,1500,1500.0,1968-01-01,1968-01-01,1968-12-30,2
109813,1699.354521007715,1500,1817.8825574367406,1968-08-01,1968-01-01,1971-06-14,37
212424,1433.054945092784,1500,1500.0,1968-01-01,1968-01-01,1968-01-01,1
212421,1530.7100459294204,1500,1565.6631951100942,1968-01-01,1968-01-01,1968-01-01,2
212425,1434.3368048899058,1500,1500.0,1968-01-01,1968-01-01,1968-01-01,1
100103,1552.7577933573841,1500,1783.838357606849,1971-02-21,1968-01-01,1975-03-17,129
212426,1422.0725382885757,1500,1500.0,1968-01-01,1968-01-01,1968-01-01,1
114735,1308.669648486888,1500,1500.0,1968-01-01,1968-01-01,1968-04-01,4
212435,1435.5232263964808,1500,1500.0,1968-01-01,1968-01-01,1968-01-01,1
202674,1313.00343819996,1500,1500.0,1968-01-01,1968-01-01,1975-11-17,13
100054,1629.2150951197993,1500,1826.6687432477756,1968-11-11,1968-01-02,1977-10-10,221
202703,1419.6381319261307,1500,1500.0,1968-01-02,1968-01-02,1970-05-01,2
112991,1437.1848361781842,1500,1500.0,1968-01-02,1968-01-02,1968-01-02,1
210782,1436.1497660495527,1500,1500.0,1968-01-08,1968-01-08,1968-01-08,1
